FIPS,Total_Pop,Log_Income,Pct_Poverty,Pct_White,Pct_Black,Pct_Degree
34017,710478,11.407931548773274,14.618327379595145,28.07940569588362,10.767539600100214,20.3754373815938
34019,129448,11.845490076760424,3.780668685495334,81.09820159446264,2.381651319448736,24.217446387738704
34021,383286,11.475576598817739,10.552433430910598,44.235636052451696,18.338264376992637,16.421158090825127
34023,861535,11.599369180870784,8.250158147956844,38.76476289413663,9.614583272879221,18.035599250175558
34025,643615,11.71772580352461,6.363742299355982,72.13784638331921,5.858471291066865,21.89880596319228
34027,510375,11.812511404424834,5.0104335047759,66.94763654175851,2.990742101396032,23.844624050942933
34029,646434,11.366881834036867,10.302521216396416,81.80247326099803,2.8697438562946873,14.728495097720726
34031,518289,11.375248347835859,13.463723906932232,38.88313276955521,9.958150761447763,13.524500809393986
34033,64973,11.269745008919022,12.514429070536991,71.01565265571853,13.279362196604744,10.822957228387175
34035,346203,11.820123358887447,5.44507124432775,50.59112717105282,9.27606057717582,21.938862459308556
34037,145117,11.646730570132057,5.370838702564138,80.98224191514434,2.268514371162579,18.766236898502587
34039,572549,11.514104769317422,8.82160304183572,36.296456722481395,19.62783971328218,15.650538207210213
34041,110238,11.50888732263713,8.007220740579474,76.35298173043779,5.305792920771422,18.074529654021298
36001,315374,11.328401484621073,12.271144736091118,68.99110262735672,11.395993328555937,15.744164071863882
36003,47027,11.022457869792117,15.087077636251514,93.02103047185659,1.5118974206307014,8.052820720011908
36005,1419250,10.800330394187467,26.36166989607187,8.815642064470671,29.063519464505898,9.179566672538312
36007,197738,11.019612266288869,17.92675156014524,80.10448168789004,5.088045797975099,10.886122040275517
36009,76479,10.972482203898611,17.04912459629441,88.37720158474876,1.3833862890466664,7.917206030413578
36011,75464,11.106219587425931,13.137390013781406,87.61661189441324,2.9842043888476626,9.853705077917947
36013,126329,10.942137500031555,16.38816107148794,84.33138867560102,2.121444798898115,9.669197096470327
36015,82805,11.058322632300516,15.095706780991486,84.4550449852062,5.828150474005192,10.60080912988346
36017,46685,11.036404644896228,11.988861518689086,92.8542358359216,0.5140837528113955,7.612723572882082
36019,78961,11.144886190952446,12.787325388482923,89.12627752941326,2.8887678727473056,10.621699319917427
36021,61245,11.334038004910555,11.13233733365989,83.29822842681035,3.1512776553188013,14.427300187770431
36023,46401,11.120297605663556,11.840262063317601,89.70065300316804,2.0344389129544624,9.327385185664102
36025,44551,11.005876035732005,14.179255235572713,89.7488271868196,1.5330744539965433,10.852730578438194
36027,297144,11.485287017666272,7.850739035619093,67.19637616778397,9.431117572624721,14.946961742454837
36029,950044,11.172910961924604,13.684524085200264,73.01240784637343,12.30174602439466,14.481645060649823
36031,37077,11.159331484271954,11.174043207379238,91.68217493324703,2.1333980634894947,13.175283868705668
36033,47066,11.062693089979524,15.253048910041219,83.78447286788764,3.28899842773977,9.289083414779247
36035,52787,11.044776115484675,14.268664633337755,88.7832231420615,1.4132267414325497,9.682308144050618
36037,57943,11.185198873463579,10.386069067877052,88.3782337814749,1.8000448716842414,9.857963861035845
36039,47554,11.211982521201607,10.398704630525298,83.54712537325987,4.1805105774487945,13.027295285359802
36041,5102,11.14115138637951,9.917679341434733,91.45433163465307,0.8820070560564485,11.485691885535084
36043,59932,11.139816214568071,13.058132550223586,91.63718881398918,0.9527464459721018,9.370620036040846
36045,116130,11.081819419754105,12.771893567553604,80.76035477482132,4.57332300008611,9.781279600447775
36047,2646306,11.271477912857982,18.69602381583989,36.18289041403375,27.50955482850434,17.163018940364417
36049,26618,11.132104187774823,12.13464572845443,93.94019084829814,0.7250732586971222,7.739123901119544
36051,61588,11.190858965656616,10.726115477040981,88.8728323699422,1.7519646684419041,11.343118789374554
36053,67572,11.200158036147666,8.928254306517493,90.58633753625762,1.5908956372461966,10.122535961640915
36055,754068,11.217345620391306,12.63771967514866,68.35590424205775,13.817056286700936,15.916601685789612
